Question,Answer
What is the dashboard ?,"The dashboard section allows the user to see a  brief and quick preview of the company providing details such as total number of employees, On-Time employees, late and absent and other useful insights about the company. "
how to create a new employee?,"Navigate to the Employee section and press the ""add new"" button then fill the form with the required information such as name, position and national number,etc"
how to export employee list ?,"Navigate to the employee section and press the ""export employee"" button then select the desired columns you want in the exported file such as department, leaves and other insights . "
how to filter certain employees ?,"Navigate to the employees section and find the ""Filter"" button then select the desired filtering options from the preview."
how to  search for an employee?,"You can use the global search bar located at the top of the screen, where you can enter employee name, email, phone number or employee id number."
how to search for an employee in the employee section ?,"Navigate to the employees section and navigate to the filtering search bars where you can search / filter employees based on their office, department, position, manager and work timing.   "
what is sign in on behalf ?,Its a feature that allows managers to clock in for employees within their  work timings intervals.
how do i sign in on behalf ?,"Navigate to employees page then navigate to the desired employee, then press the sign in button and fill in the required information such as sign in time and location and work timing in case the employee has multiple shifts."
how do i suspend an Employee ?,"Navigate to the employees section and find the employee you want to suspend, you can either suspend the employee by pressing the ""Suspension"" button or enter the employee profile and press the ""Suspension"" from within the employee profile,then choose the date and the deserved annual leaves."
how do i delete an employee ?,"Navigate to the employees section then find the desired employee for deletion, then press ""Delete"" button or enter the employee profile and press ""delete"" button from the inside then follow the onscreen flow."
how do i add or remove employee privilege ?,"Navigate to the employees section and press ""Manage privilege  "" button and add or remove the desired privileges then press ""Save""."
How do i sign out on behalf ?,"Navigate to the employees section and find the desired employee then press ""Sign out "" button and provide the required information such as sign out time and location. "
what is sign out on behalf ?,Its a feature that allows managers to clock out for employees within their  work timings intervals.
how do i view employee details ?,Navigate to the employees section then find the desired employee then enter the employee profile or you can search for the employee using the global search located atop the page.
how do i view the employee's history ?,navigate to the chosen employee and then press the history tab within the employee profile
how do i edit employee attendance from employee profile ?,"navigate to the desired employee and select the history tab then find the desired sign in record to be edited, then press the ""edit"" button and make the desired modifications."
how do i search for specific records in the employee profile ?,"in the employee profile navigate to the history tab and use the status, from and to search bards to search and filter records to your liking  ."
how do i edit attendance type profile from the employee profile ?,"in the attendance type section in the employee profile, navigate to the edit button next to the desired configuration to edited, then change the desired information and press save."
